Scraping Glottolog extinction status...
CSV File: languoid.csv
Cache File: extinction_cache.json
Base URL: https://glottolog.org/resource/languoid/id

Loaded cache with 0 existing entries
Total unique languoid IDs: 27034
Need to fetch: 27034

Starting scrape...
Note: This will take ~225.3 minutes with rate limiting

  [100/27034] Extinct: 3, Active: 29, Unknown: 68
  [200/27034] Extinct: 6, Active: 60, Unknown: 134
  [300/27034] Extinct: 12, Active: 90, Unknown: 198
  [400/27034] Extinct: 22, Active: 122, Unknown: 256
  [500/27034] Extinct: 27, Active: 155, Unknown: 318
  [600/27034] Extinct: 31, Active: 191, Unknown: 378
  [700/27034] Extinct: 36, Active: 217, Unknown: 447
  [800/27034] Extinct: 50, Active: 244, Unknown: 506
  [900/27034] Extinct: 56, Active: 276, Unknown: 568
  [1000/27034] Extinct: 67, Active: 295, Unknown: 638
  [1100/27034] Extinct: 81, Active: 323, Unknown: 696
  [1200/27034] Extinct: 82, Active: 351, Unknown: 767
  [1300/27034] Extinct: 90, Active: 375, Unknown: 835
  [1400/27034] Extinct: 97, Active: 414, Unknown: 889
  [1500/27034] Extinct: 102, Active: 440, Unknown: 958
  [1600/27034] Extinct: 108, Active: 480, Unknown: 1012
  [1700/27034] Extinct: 111, Active: 505, Unknown: 1084
  [1800/27034] Extinct: 111, Active: 534, Unknown: 1155
  [1900/27034] Extinct: 113, Active: 565, Unknown: 1222
  [2000/27034] Extinct: 118, Active: 582, Unknown: 1300
  [2100/27034] Extinct: 125, Active: 606, Unknown: 1369
  [2200/27034] Extinct: 129, Active: 639, Unknown: 1432
  [2300/27034] Extinct: 131, Active: 671, Unknown: 1498
  [2400/27034] Extinct: 136, Active: 697, Unknown: 1567
  [2500/27034] Extinct: 138, Active: 722, Unknown: 1640
  [2600/27034] Extinct: 143, Active: 753, Unknown: 1704
  [2700/27034] Extinct: 152, Active: 786, Unknown: 1762
  [2800/27034] Extinct: 152, Active: 810, Unknown: 1838
  [2900/27034] Extinct: 153, Active: 837, Unknown: 1910
  [3000/27034] Extinct: 157, Active: 869, Unknown: 1974
  [3100/27034] Extinct: 159, Active: 897, Unknown: 2044
  [3200/27034] Extinct: 164, Active: 924, Unknown: 2112
  [3300/27034] Extinct: 167, Active: 958, Unknown: 2175
  [3400/27034] Extinct: 171, Active: 998, Unknown: 2231
  [3500/27034] Extinct: 175, Active: 1030, Unknown: 2295
  [3600/27034] Extinct: 188, Active: 1059, Unknown: 2353
  [3700/27034] Extinct: 196, Active: 1080, Unknown: 2424
  [3800/27034] Extinct: 197, Active: 1101, Unknown: 2502
  [3900/27034] Extinct: 198, Active: 1117, Unknown: 2585
  [4000/27034] Extinct: 198, Active: 1120, Unknown: 2682
  [4100/27034] Extinct: 205, Active: 1143, Unknown: 2752
  [4200/27034] Extinct: 211, Active: 1172, Unknown: 2817
  [4300/27034] Extinct: 219, Active: 1200, Unknown: 2881
  [4400/27034] Extinct: 224, Active: 1229, Unknown: 2947
  [4500/27034] Extinct: 236, Active: 1250, Unknown: 3014
  [4600/27034] Extinct: 246, Active: 1276, Unknown: 3078
  [4700/27034] Extinct: 265, Active: 1298, Unknown: 3137
  [4800/27034] Extinct: 270, Active: 1331, Unknown: 3199
  [4900/27034] Extinct: 275, Active: 1359, Unknown: 3266
  [5000/27034] Extinct: 276, Active: 1386, Unknown: 3338
  [5100/27034] Extinct: 278, Active: 1419, Unknown: 3403
  [5200/27034] Extinct: 284, Active: 1452, Unknown: 3464
  [5300/27034] Extinct: 290, Active: 1479, Unknown: 3531
  [5400/27034] Extinct: 291, Active: 1513, Unknown: 3596
  [5500/27034] Extinct: 296, Active: 1539, Unknown: 3665
  [5600/27034] Extinct: 303, Active: 1575, Unknown: 3722
  [5700/27034] Extinct: 304, Active: 1601, Unknown: 3795
  [5800/27034] Extinct: 304, Active: 1619, Unknown: 3877
  [5900/27034] Extinct: 306, Active: 1633, Unknown: 3961
  [6000/27034] Extinct: 308, Active: 1636, Unknown: 4056
  [6100/27034] Extinct: 309, Active: 1647, Unknown: 4144
  [6200/27034] Extinct: 312, Active: 1678, Unknown: 4210
  [6300/27034] Extinct: 316, Active: 1709, Unknown: 4275
  [6400/27034] Extinct: 325, Active: 1738, Unknown: 4337
  [6500/27034] Extinct: 330, Active: 1765, Unknown: 4405
  [6600/27034] Extinct: 331, Active: 1791, Unknown: 4478
  [6700/27034] Extinct: 333, Active: 1811, Unknown: 4556
  [6800/27034] Extinct: 338, Active: 1846, Unknown: 4616
  [6900/27034] Extinct: 348, Active: 1873, Unknown: 4679
  [7000/27034] Extinct: 353, Active: 1893, Unknown: 4754
  [7100/27034] Extinct: 357, Active: 1914, Unknown: 4829
  [7200/27034] Extinct: 359, Active: 1944, Unknown: 4897
  [7300/27034] Extinct: 361, Active: 1979, Unknown: 4960
  [7400/27034] Extinct: 363, Active: 2000, Unknown: 5037
  [7500/27034] Extinct: 373, Active: 2020, Unknown: 5107
  [7600/27034] Extinct: 386, Active: 2051, Unknown: 5163
  [7700/27034] Extinct: 399, Active: 2076, Unknown: 5225
  [7800/27034] Extinct: 400, Active: 2101, Unknown: 5299
  [7900/27034] Extinct: 404, Active: 2133, Unknown: 5363
  [8000/27034] Extinct: 407, Active: 2158, Unknown: 5435
  [8100/27034] Extinct: 410, Active: 2184, Unknown: 5506
  [8200/27034] Extinct: 414, Active: 2211, Unknown: 5575
  [8300/27034] Extinct: 421, Active: 2241, Unknown: 5638
  [8400/27034] Extinct: 424, Active: 2273, Unknown: 5703
  [8500/27034] Extinct: 428, Active: 2305, Unknown: 5767
  [8600/27034] Extinct: 431, Active: 2334, Unknown: 5835
  [8700/27034] Extinct: 435, Active: 2357, Unknown: 5908
  [8800/27034] Extinct: 437, Active: 2383, Unknown: 5980
  [8900/27034] Extinct: 441, Active: 2417, Unknown: 6042
  [9000/27034] Extinct: 442, Active: 2449, Unknown: 6109
  [9100/27034] Extinct: 448, Active: 2478, Unknown: 6174
  [9200/27034] Extinct: 451, Active: 2502, Unknown: 6247
  [9300/27034] Extinct: 458, Active: 2531, Unknown: 6311
  [9400/27034] Extinct: 465, Active: 2568, Unknown: 6367
  [9500/27034] Extinct: 466, Active: 2603, Unknown: 6431
  [9600/27034] Extinct: 473, Active: 2636, Unknown: 6491
  [9700/27034] Extinct: 478, Active: 2658, Unknown: 6564
  [9800/27034] Extinct: 480, Active: 2686, Unknown: 6634
  [9900/27034] Extinct: 488, Active: 2713, Unknown: 6699
  [10000/27034] Extinct: 496, Active: 2748, Unknown: 6756
  [10100/27034] Extinct: 501, Active: 2768, Unknown: 6831
  [10200/27034] Extinct: 507, Active: 2792, Unknown: 6901
  [10300/27034] Extinct: 509, Active: 2827, Unknown: 6964
  [10400/27034] Extinct: 512, Active: 2853, Unknown: 7035
  [10500/27034] Extinct: 512, Active: 2884, Unknown: 7104
  [10600/27034] Extinct: 516, Active: 2903, Unknown: 7181
  [10700/27034] Extinct: 520, Active: 2936, Unknown: 7244
  [10800/27034] Extinct: 524, Active: 2963, Unknown: 7313
  [10900/27034] Extinct: 528, Active: 2993, Unknown: 7379
  [11000/27034] Extinct: 529, Active: 3023, Unknown: 7448
  [11100/27034] Extinct: 530, Active: 3060, Unknown: 7510
  [11200/27034] Extinct: 532, Active: 3090, Unknown: 7578
  [11300/27034] Extinct: 535, Active: 3122, Unknown: 7643
  [11400/27034] Extinct: 542, Active: 3155, Unknown: 7703
  [11500/27034] Extinct: 547, Active: 3188, Unknown: 7765
  [11600/27034] Extinct: 554, Active: 3221, Unknown: 7825
  [11700/27034] Extinct: 558, Active: 3254, Unknown: 7888
  [11800/27034] Extinct: 561, Active: 3285, Unknown: 7954
  [11900/27034] Extinct: 562, Active: 3318, Unknown: 8020
  [12000/27034] Extinct: 562, Active: 3352, Unknown: 8086
  [12100/27034] Extinct: 566, Active: 3387, Unknown: 8147
  [12200/27034] Extinct: 573, Active: 3420, Unknown: 8207
  [12300/27034] Extinct: 575, Active: 3449, Unknown: 8276
  [12400/27034] Extinct: 577, Active: 3482, Unknown: 8341
  [12500/27034] Extinct: 579, Active: 3509, Unknown: 8412
  [12600/27034] Extinct: 580, Active: 3530, Unknown: 8490
  [12700/27034] Extinct: 589, Active: 3550, Unknown: 8561
  [12800/27034] Extinct: 594, Active: 3567, Unknown: 8639
  [12900/27034] Extinct: 602, Active: 3588, Unknown: 8710
  [13000/27034] Extinct: 609, Active: 3618, Unknown: 8773
  [13100/27034] Extinct: 615, Active: 3644, Unknown: 8841
  [13200/27034] Extinct: 618, Active: 3678, Unknown: 8904
  [13300/27034] Extinct: 622, Active: 3718, Unknown: 8960
  [13400/27034] Extinct: 627, Active: 3750, Unknown: 9023
  [13500/27034] Extinct: 635, Active: 3781, Unknown: 9084
  [13600/27034] Extinct: 636, Active: 3810, Unknown: 9154
  [13700/27034] Extinct: 643, Active: 3843, Unknown: 9214
  [13800/27034] Extinct: 650, Active: 3870, Unknown: 9280
  [13900/27034] Extinct: 655, Active: 3895, Unknown: 9350
  [14000/27034] Extinct: 668, Active: 3924, Unknown: 9408
  [14100/27034] Extinct: 672, Active: 3950, Unknown: 9478
  [14200/27034] Extinct: 675, Active: 3983, Unknown: 9542
  [14300/27034] Extinct: 679, Active: 4014, Unknown: 9607
  [14400/27034] Extinct: 689, Active: 4036, Unknown: 9675
  [14500/27034] Extinct: 695, Active: 4057, Unknown: 9748
  [14600/27034] Extinct: 701, Active: 4086, Unknown: 9813
  [14700/27034] Extinct: 707, Active: 4112, Unknown: 9881
  [14800/27034] Extinct: 711, Active: 4145, Unknown: 9944
  [14900/27034] Extinct: 715, Active: 4180, Unknown: 10005
  [15000/27034] Extinct: 719, Active: 4211, Unknown: 10070
  [15100/27034] Extinct: 722, Active: 4245, Unknown: 10133
  [15200/27034] Extinct: 726, Active: 4271, Unknown: 10203
  [15300/27034] Extinct: 729, Active: 4300, Unknown: 10271
  [15400/27034] Extinct: 732, Active: 4324, Unknown: 10344
  [15500/27034] Extinct: 736, Active: 4354, Unknown: 10410
  [15600/27034] Extinct: 745, Active: 4394, Unknown: 10461
  [15700/27034] Extinct: 747, Active: 4428, Unknown: 10525
  [15800/27034] Extinct: 755, Active: 4456, Unknown: 10589
  [15900/27034] Extinct: 766, Active: 4488, Unknown: 10646
  [16000/27034] Extinct: 768, Active: 4516, Unknown: 10716
  [16100/27034] Extinct: 776, Active: 4543, Unknown: 10781
  [16200/27034] Extinct: 778, Active: 4570, Unknown: 10852
  [16300/27034] Extinct: 782, Active: 4598, Unknown: 10920
  [16400/27034] Extinct: 786, Active: 4616, Unknown: 10998
  [16500/27034] Extinct: 788, Active: 4643, Unknown: 11069
  [16600/27034] Extinct: 789, Active: 4664, Unknown: 11147
  [16700/27034] Extinct: 796, Active: 4696, Unknown: 11208
  [16800/27034] Extinct: 796, Active: 4697, Unknown: 11307
